id_dane;state;municipality;depto;mpio;y_total;SGP_total;pobl_tot;indrural;discapital;areaoficialkm2;pobreza;gini;pib_cons;pib_percapita_cons;pib_total;pib_agricola;ind_alfa;anos_est_mun;TMI;tpobc_FARC;tpobc_ELN;tpobc_DESC;tpobc_AUC;enfr_FARC;enfr_ELN;enfr_DESC;enfr_AUC;desmovilizados;desplazados_expulsion;desplazados_recepcion;polalgn_2011;margin_2011;sample_2011;polalgn_2015;margin_2015;sample_2015
5044;ANTIOQUIA;ANZA;1;34;3986.3577009;3011.36666175;7387;0.8448171734809875;29.099184036254883;256;0.6299999952316284;0.5062000155448914;46479.0015625;6.36609115600586;51355.383984375;12376.904296875;78.73380279541016;5.323887348175049;17.19;6;0;3;2;0;0;0;1;1;3684;2512;0;NA;0;0;NA;0
5045;ANTIOQUIA;APARTADO;1;35;29097.8456702;13067.75401375;129040.9;0.15052712857723236;209.22433471679688;607;0.6565999984741211;0.5135999917984009;983233.65;6.657403564453125;840029.93125;117374.14140625;80.88499450683594;8.334368705749512;14.246;15;0;38;4;0;0;0;2;71;28471;35179;1;1.9384373286283108;1;1;6.209999999999994;1
5051;ANTIOQUIA;ARBOLETES;1;37;10022.1849202;6408.5272945;30469.2;0.6066742420196534;269.67437744140625;718;0.6565999984741211;0.5135999917984009;165016.053125;5.081753349304199;174812.8734375;51586.875390625;75.33358001708984;6.5601487159729;25.45;0;0;5;0;0;0;0;0;3;5543;4618;1;24.97374161751636;0;0;-4.539999999999999;1
5055;ANTIOQUIA;ARGELIA;1;39;4466.8489074;3047.313396375;10160.2;0.719587367773056;92.318634033203125;257;0.47049999237060547;0.4666999876499176;51781.97578125;6.194583892822266;57724.775;16864.148828125;87.14388275146484;6.2163262367248535;20.702;7;0;4;1;1;0;0;2;37;20784;12185;0;NA;0;0;NA;0
5059;ANTIOQUIA;ARMENIA;1;40;2872.9349913;1917.844401125;5253.7;0.6626181662082672;21.414735794067383;111;0.6299999952316284;0.5062000155448914;34937.2359375;7.262142372131348;31859.8400390625;7955.506103515625;76.21331787109375;6.004922866821289;20.28;0;0;2;1;0;0;0;0;0;413;126;0;NA;0;0;NA;0
5079;ANTIOQUIA;BARBOSA;1;43;13059.642715099999;5375.67796225;42159.6;0.5639345943927765;40.0173225402832;208;0.2824999988079071;0.4025000035762787;287920.253125;6.541803550720215;242535.7109375;23603.2341796875;93.30184173583984;8.383642196655273;13.008000000000001;0;18;30;9;0;0;0;0;2;2911;3147;0;-12.875966771698653;0;1;12.040000000000003;0
5086;ANTIOQUIA;BELMIRA;1;46;3469.5536713;1944.26966025;6159.2;0.7281342446804047;38.48391342163086;279;0.6299999952316284;0.5062000155448914;42423.7890625;6.739845180511475;37466.6072265625;4815.980078125;93.093780517578125;7.204269886016846;22.048;0;0;0;0;0;0;0;0;0;290;207;0;NA;0;0;NA;0
5088;ANTIOQUIA;BELLO;1;49;125311.32789999999;75571.5006165;367782.4;0.03818875923752785;11.407896041870117;151;0.2824999988079071;0.4025000035762787;2609374.8;6.712990665435791;2166238.8625;2375.1165771484375;94.64421844482422;9.815723419189453;9.378;0;0;89;4;0;0;0;5;23;4393;27674;0;NA;0;1;0.7999999999999972;1
5091;ANTIOQUIA;BETANIA;1;52;3459.7356038;2440.257223375;10305.6;0.6297283291816711;72.28752899169922;170;0.582099974155426;0.48899999260902405;90150.5484375;9.202175903320313;130454.3390625;48794.262890625;80.58122253417969;5.965909004211426;19.798000000000002;0;0;7;0;0;0;0;0;7;953;696;0;-5.350118017309207;1;0;NA;0
5093;ANTIOQUIA;BETULIA;1;55;6615.8317965;3747.79721175;16677.2;0.6925554811954499;33.65726852416992;255;0.582099974155426;0.48899999260902405;86407.2703125;5.1913430213928224;104928.840625;41042.66953125;78.05744934082031;5.487138271331787;20.28;11;0;6;5;1;0;0;2;8;14056;8299;0;NA;0;0;NA;0
